"indicator1","indicator2","indicator3","X","Y","Z","X,Y","Y,Z","X,Z","X,Y,Z","pop"
"blank1","primary","under5",100,18,0,18,0,0,0,4455274
"blank1","primary","urban",100,18,33,18,13,33,13,4455274
"blank1","rural","secondary",100,67,8,67,1,8,1,4455274
"blank1","rural","stunted",100,73,27,73,18,27,18,1962309
"blank1","rural","under5",100,67,16,67,12,16,12,11948726
"blank1","rural","urban",100,67,33,67,0,33,0,11948726
"blank1","secondary","stunted",,,,,,,,4455274
"blank1","secondary","under5",100,8,0,8,0,0,0,4455274
"blank1","secondary","urban",100,8,33,8,6,33,6,4455274
"blank1","stunted","under5",100,27,100,27,27,100,27,1962309
"blank1","stunted","urban",100,27,27,27,2,27,2,1962309
"blank1","under5","urban",100,16,33,16,4,33,4,11948726
"blank2","ext","female",100,36,52,36,19,52,19,11948726
"blank2","ext","fifteento49",100,36,39,36,13,39,13,11948726
"blank2","ext","fiveto14",100,36,32,36,12,32,12,11948726
"blank2","ext","gt49",100,36,14,36,5,14,5,11948726
"blank2","ext","higher",100,36,6,36,0,6,0,4455274
"blank2","ext","male",100,36,48,36,17,48,17,11948726
"blank2","ext","no.birth.reg",100,40,39,40,21,39,21,1962309
"blank2","ext","no.educ",100,36,82,36,34,82,34,4455274
"blank2","ext","no.skilled.attendant",100,33,57,33,24,57,24,2759581
"blank2","ext","non.p20",100,36,44,36,0,44,0,11948726
"blank2","ext","p20",100,36,56,36,36,56,36,11948726
"blank2","ext","primary",100,36,18,36,1,18,1,4455274
"blank2","ext","rural",100,36,67,36,35,67,35,11948726
"blank2","ext","secondary",100,36,8,36,0,8,0,4455274
"blank2","ext","stunted",100,40,27,40,8,27,8,1962309
"blank2","ext","under5",100,36,16,36,6,16,6,11948726
"blank2","ext","urban",100,36,33,36,1,33,1,11948726
"blank2","female","fifteento49",100,52,39,52,21,39,21,11948726
"blank2","female","fiveto14",100,52,32,52,16,32,16,11948726
"blank2","female","gt49",100,52,14,52,7,14,7,11948726
"blank2","female","higher",100,54,6,54,1,6,1,4455274
"blank2","female","male",100,52,48,52,0,48,0,11948726
"blank2","female","no.birth.reg",100,49,39,49,19,39,19,1962309
"blank2","female","no.educ",100,54,82,54,49,82,49,4455274
"blank2","female","no.skilled.attendant",100,100,57,100,57,57,57,2759581
"blank2","female","non.p20",100,52,44,52,23,44,23,11948726
"blank2","female","p20",100,52,56,52,29,56,29,11948726
"blank2","female","primary",100,54,18,54,6,18,6,4455274
"blank2","female","rural",100,52,67,52,36,67,36,11948726
"blank2","female","secondary",100,54,8,54,2,8,2,4455274
"blank2","female","stunted",100,49,27,49,8,27,8,1962309
"blank2","female","under5",100,52,16,52,8,16,8,11948726
"blank2","female","urban",100,52,33,52,17,33,17,11948726
"blank2","fifteento49","fiveto14",100,39,32,39,0,32,0,11948726
"blank2","fifteento49","gt49",100,39,14,39,0,14,0,11948726
"blank2","fifteento49","higher",100,63,6,63,4,6,4,4455274
"blank2","fifteento49","male",100,39,48,39,18,48,18,11948726
"blank2","fifteento49","no.birth.reg",100,0,39,0,0,39,0,1962309
"blank2","fifteento49","no.educ",100,63,82,63,49,82,49,4455274
"blank2","fifteento49","no.skilled.attendant",100,100,57,100,57,57,57,2759581
"blank2","fifteento49","non.p20",100,39,44,39,19,44,19,11948726
"blank2","fifteento49","p20",100,39,56,39,20,56,20,11948726
"blank2","fifteento49","primary",100,63,18,63,14,18,14,4455274
"blank2","fifteento49","rural",100,39,67,39,24,67,24,11948726
"blank2","fifteento49","secondary",100,63,8,63,5,8,5,4455274
"blank2","fifteento49","stunted",100,0,27,0,0,27,0,1962309
"blank2","fifteento49","under5",100,39,16,39,0,16,0,11948726
"blank2","fifteento49","urban",100,39,33,39,15,33,15,11948726
"blank2","fiveto14","gt49",100,32,14,32,0,14,0,11948726
"blank2","fiveto14","higher",100,0,6,0,0,6,0,4455274
"blank2","fiveto14","male",100,32,48,32,16,48,16,11948726
"blank2","fiveto14","no.birth.reg",100,0,39,0,0,39,0,1962309
"blank2","fiveto14","no.educ",100,0,82,0,0,82,0,4455274
"blank2","fiveto14","no.skilled.attendant",100,0,57,0,0,57,0,2759581
"blank2","fiveto14","non.p20",100,32,44,32,13,44,13,11948726
"blank2","fiveto14","p20",100,32,56,32,18,56,18,11948726
"blank2","fiveto14","primary",100,0,18,0,0,18,0,4455274
"blank2","fiveto14","rural",100,32,67,32,22,67,22,11948726
"blank2","fiveto14","secondary",100,0,8,0,0,8,0,4455274
"blank2","fiveto14","stunted",100,0,27,0,0,27,0,1962309
"blank2","fiveto14","under5",100,32,16,32,0,16,0,11948726
"blank2","fiveto14","urban",100,32,33,32,9,33,9,11948726
"blank2","gt49","higher",100,37,6,37,2,6,2,4455274
"blank2","gt49","male",100,14,48,14,6,48,6,11948726
"blank2","gt49","no.birth.reg",100,0,39,0,0,39,0,1962309
"blank2","gt49","no.educ",100,37,82,37,33,82,33,4455274
"blank2","gt49","no.skilled.attendant",100,0,57,0,0,57,0,2759581
"blank2","gt49","non.p20",100,14,44,14,5,44,5,11948726
"blank2","gt49","p20",100,14,56,14,8,56,8,11948726
"blank2","gt49","primary",100,37,18,37,4,18,4,4455274
"blank2","gt49","rural",100,14,67,14,10,67,10,11948726
"blank2","gt49","secondary",100,37,8,37,2,8,2,4455274
"blank2","gt49","stunted",100,0,27,0,0,27,0,1962309
"blank2","gt49","under5",100,14,16,14,0,16,0,11948726
"blank2","gt49","urban",100,14,33,14,4,33,4,11948726
"blank2","higher","male",100,6,46,6,4,46,4,4455274
"blank2","higher","no.birth.reg",,,,,,,,4455274
"blank2","higher","no.educ",100,6,82,6,0,82,0,4455274
"blank2","higher","no.skilled.attendant",100,3,59,3,2,59,2,1589193
"blank2","higher","non.p20",100,6,44,6,5,44,5,4455274
"blank2","higher","p20",100,6,56,6,0,56,0,4455274
"blank2","higher","primary",100,6,18,6,6,18,6,4455274
"blank2","higher","rural",100,6,67,6,1,67,1,4455274
"blank2","higher","secondary",100,6,8,6,6,8,6,4455274
"blank2","higher","stunted",,,,,,,,4455274
"blank2","higher","under5",100,6,0,6,0,0,0,4455274
"blank2","higher","urban",100,6,33,6,5,33,5,4455274
"blank2","male","no.birth.reg",100,51,39,51,19,39,19,1962309
"blank2","male","no.educ",100,46,82,46,33,82,33,4455274
"blank2","male","no.skilled.attendant",100,0,57,0,0,57,0,2759581
"blank2","male","non.p20",100,48,44,48,21,44,21,11948726
"blank2","male","p20",100,48,56,48,27,56,27,11948726
"blank2","male","primary",100,46,18,46,13,18,13,4455274
"blank2","male","rural",100,48,67,48,32,67,32,11948726
"blank2","male","secondary",100,46,8,46,6,8,6,4455274
"blank2","male","stunted",100,51,27,51,10,27,10,1962309
"blank2","male","under5",100,48,16,48,8,16,8,11948726
"blank2","male","urban",100,48,33,48,16,33,16,11948726
"blank2","no.birth.reg","no.educ",,,,,,,,4455274
"blank2","no.birth.reg","no.skilled.attendant",,,,,,,,1962309
"blank2","no.birth.reg","non.p20",100,39,40,39,7,40,7,1962309
"blank2","no.birth.reg","p20",100,39,60,39,30,60,30,1962309
"blank2","no.birth.reg","primary",,,,,,,,4455274
"blank2","no.birth.reg","rural",100,39,73,39,35,73,35,1962309
"blank2","no.birth.reg","secondary",,,,,,,,4455274
"blank2","no.birth.reg","stunted",100,39,27,39,7,27,7,1962309
"blank2","no.birth.reg","under5",100,39,100,39,39,100,39,1962309
"blank2","no.birth.reg","urban",100,39,27,39,3,27,3,1962309
"blank2","no.educ","no.skilled.attendant",100,87,59,87,53,59,53,1589193
"blank2","no.educ","non.p20",100,82,44,82,29,44,29,4455274
"blank2","no.educ","p20",100,82,56,82,53,56,53,4455274
"blank2","no.educ","primary",100,82,18,82,0,18,0,4455274
"blank2","no.educ","rural",100,82,67,82,62,67,62,4455274
"blank2","no.educ","secondary",100,82,8,82,0,8,0,4455274
"blank2","no.educ","stunted",,,,,,,,4455274
"blank2","no.educ","under5",100,82,0,82,0,0,0,4455274
"blank2","no.educ","urban",100,82,33,82,20,33,20,4455274
"blank2","no.skilled.attendant","non.p20",100,57,48,57,21,48,21,2759581
"blank2","no.skilled.attendant","p20",100,57,52,57,36,52,36,2759581
"blank2","no.skilled.attendant","primary",100,59,13,59,6,13,6,1589193
"blank2","no.skilled.attendant","rural",100,57,63,57,42,63,42,2759581
"blank2","no.skilled.attendant","secondary",100,59,4,59,2,4,2,1589193
"blank2","no.skilled.attendant","stunted",,,,,,,,1962309
"blank2","no.skilled.attendant","under5",100,57,0,57,0,0,0,2759581
"blank2","no.skilled.attendant","urban",100,57,37,57,15,37,15,2759581
"blank2","non.p20","p20",100,44,56,44,0,56,0,11948726
"blank2","non.p20","primary",100,44,18,44,15,18,15,4455274
"blank2","non.p20","rural",100,44,67,44,13,67,13,11948726
"blank2","non.p20","secondary",100,44,8,44,7,8,7,4455274
"blank2","non.p20","stunted",100,40,27,40,5,27,5,1962309
"blank2","non.p20","under5",100,44,16,44,6,16,6,11948726
"blank2","non.p20","urban",100,44,33,44,31,33,31,11948726
"blank2","p20","primary",100,56,18,56,3,18,3,4455274
"blank2","p20","rural",100,56,67,56,54,67,54,11948726
"blank2","p20","secondary",100,56,8,56,1,8,1,4455274
"blank2","p20","stunted",100,60,27,60,14,27,14,1962309
"blank2","p20","under5",100,56,16,56,10,16,10,11948726
"blank2","p20","urban",100,56,33,56,2,33,2,11948726
"blank2","primary","rural",100,18,67,18,5,67,5,4455274
"blank2","primary","secondary",100,18,8,18,8,8,8,4455274
"blank2","primary","stunted",,,,,,,,4455274
"blank2","primary","under5",100,18,0,18,0,0,0,4455274
"blank2","primary","urban",100,18,33,18,13,33,13,4455274
"blank2","rural","secondary",100,67,8,67,1,8,1,4455274
"blank2","rural","stunted",100,73,27,73,18,27,18,1962309
"blank2","rural","under5",100,67,16,67,12,16,12,11948726
"blank2","rural","urban",100,67,33,67,0,33,0,11948726
"blank2","secondary","stunted",,,,,,,,4455274
"blank2","secondary","under5",100,8,0,8,0,0,0,4455274
"blank2","secondary","urban",100,8,33,8,6,33,6,4455274
"blank2","stunted","under5",100,27,100,27,27,100,27,1962309
"blank2","stunted","urban",100,27,27,27,2,27,2,1962309
"blank2","under5","urban",100,16,33,16,4,33,4,11948726
"ext","female","fifteento49",36,52,39,19,21,13,7,11948726
"ext","female","fiveto14",36,52,32,19,16,12,6,11948726
"ext","female","gt49",36,52,14,19,7,5,3,11948726
"ext","female","higher",36,54,6,20,1,0,0,4455274
"ext","female","male",36,52,48,19,0,17,0,11948726
"ext","female","no.birth.reg",40,49,39,20,19,21,10,1962309
"ext","female","no.educ",36,54,82,20,49,34,19,4455274
"ext","female","no.skilled.attendant",33,100,57,33,57,24,24,2759581
"ext","female","non.p20",36,52,44,19,23,0,0,11948726
"ext","female","p20",36,52,56,19,29,36,19,11948726
"ext","female","primary",36,54,18,20,6,1,0,4455274
"ext","female","rural",36,52,67,19,36,35,18,11948726
"ext","female","secondary",36,54,8,20,2,0,0,4455274
"ext","female","stunted",40,49,27,20,8,8,4,1962309
"ext","female","under5",36,52,16,19,8,6,3,11948726
"ext","female","urban",36,52,33,19,17,1,0,11948726
"ext","fifteento49","fiveto14",36,39,32,13,0,12,0,11948726
"ext","fifteento49","gt49",36,39,14,13,0,5,0,11948726
"ext","fifteento49","higher",36,63,6,22,4,0,0,4455274
"ext","fifteento49","male",36,39,48,13,18,17,6,11948726
"ext","fifteento49","no.birth.reg",40,0,39,0,0,21,0,1962309
"ext","fifteento49","no.educ",36,63,82,22,49,34,21,4455274
"ext","fifteento49","no.skilled.attendant",33,100,57,33,57,24,24,2759581
"ext","fifteento49","non.p20",36,39,44,13,19,0,0,11948726
"ext","fifteento49","p20",36,39,56,13,20,36,13,11948726
"ext","fifteento49","primary",36,63,18,22,14,1,1,4455274
"ext","fifteento49","rural",36,39,67,13,24,35,12,11948726
"ext","fifteento49","secondary",36,63,8,22,5,0,0,4455274
"ext","fifteento49","stunted",40,0,27,0,0,8,0,1962309
"ext","fifteento49","under5",36,39,16,13,0,6,0,11948726
"ext","fifteento49","urban",36,39,33,13,15,1,0,11948726
"ext","fiveto14","gt49",36,32,14,12,0,5,0,11948726
"ext","fiveto14","higher",36,0,6,0,0,0,0,4455274
"ext","fiveto14","male",36,32,48,12,16,17,6,11948726
"ext","fiveto14","no.birth.reg",40,0,39,0,0,21,0,1962309
"ext","fiveto14","no.educ",36,0,82,0,0,34,0,4455274
"ext","fiveto14","no.skilled.attendant",33,0,57,0,0,24,0,2759581
"ext","fiveto14","non.p20",36,32,44,12,13,0,0,11948726
"ext","fiveto14","p20",36,32,56,12,18,36,12,11948726
"ext","fiveto14","primary",36,0,18,0,0,1,0,4455274
"ext","fiveto14","rural",36,32,67,12,22,35,12,11948726
"ext","fiveto14","secondary",36,0,8,0,0,0,0,4455274
"ext","fiveto14","stunted",40,0,27,0,0,8,0,1962309
"ext","fiveto14","under5",36,32,16,12,0,6,0,11948726
"ext","fiveto14","urban",36,32,33,12,9,1,0,11948726
"ext","gt49","higher",36,37,6,14,2,0,0,4455274
"ext","gt49","male",36,14,48,5,6,17,2,11948726
"ext","gt49","no.birth.reg",40,0,39,0,0,21,0,1962309
"ext","gt49","no.educ",36,37,82,14,33,34,14,4455274
"ext","gt49","no.skilled.attendant",33,0,57,0,0,24,0,2759581
"ext","gt49","non.p20",36,14,44,5,5,0,0,11948726
"ext","gt49","p20",36,14,56,5,8,36,5,11948726
"ext","gt49","primary",36,37,18,14,4,1,0,4455274
"ext","gt49","rural",36,14,67,5,10,35,5,11948726
"ext","gt49","secondary",36,37,8,14,2,0,0,4455274
"ext","gt49","stunted",40,0,27,0,0,8,0,1962309
"ext","gt49","under5",36,14,16,5,0,6,0,11948726
"ext","gt49","urban",36,14,33,5,4,1,0,11948726
"ext","higher","male",36,6,46,0,4,16,0,4455274
"ext","higher","no.birth.reg",,,,,,,,4455274
"ext","higher","no.educ",36,6,82,0,0,34,0,4455274
"ext","higher","no.skilled.attendant",35,3,59,0,2,26,0,1589193
"ext","higher","non.p20",36,6,44,0,5,0,0,4455274
"ext","higher","p20",36,6,56,0,0,36,0,4455274
"ext","higher","primary",36,6,18,0,6,1,0,4455274
"ext","higher","rural",36,6,67,0,1,35,0,4455274
"ext","higher","secondary",36,6,8,0,6,0,0,4455274
"ext","higher","stunted",,,,,,,,4455274
"ext","higher","under5",36,6,0,0,0,0,0,4455274
"ext","higher","urban",36,6,33,0,5,1,0,4455274
"ext","male","no.birth.reg",40,51,39,20,19,21,10,1962309
"ext","male","no.educ",36,46,82,16,33,34,15,4455274
"ext","male","no.skilled.attendant",33,0,57,0,0,24,0,2759581
"ext","male","non.p20",36,48,44,17,21,0,0,11948726
"ext","male","p20",36,48,56,17,27,36,17,11948726
"ext","male","primary",36,46,18,16,13,1,1,4455274
"ext","male","rural",36,48,67,17,32,35,17,11948726
"ext","male","secondary",36,46,8,16,6,0,0,4455274
"ext","male","stunted",40,51,27,20,10,8,4,1962309
"ext","male","under5",36,48,16,17,8,6,3,11948726
"ext","male","urban",36,48,33,17,16,1,0,11948726
"ext","no.birth.reg","no.educ",,,,,,,,4455274
"ext","no.birth.reg","no.skilled.attendant",,,,,,,,1962309
"ext","no.birth.reg","non.p20",40,39,40,21,7,0,0,1962309
"ext","no.birth.reg","p20",40,39,60,21,30,40,21,1962309
"ext","no.birth.reg","primary",,,,,,,,4455274
"ext","no.birth.reg","rural",40,39,73,21,35,39,21,1962309
"ext","no.birth.reg","secondary",,,,,,,,4455274
"ext","no.birth.reg","stunted",40,39,27,21,7,8,4,1962309
"ext","no.birth.reg","under5",40,39,100,21,39,40,21,1962309
"ext","no.birth.reg","urban",40,39,27,21,3,1,0,1962309
"ext","no.educ","no.skilled.attendant",35,87,59,34,53,26,26,1589193
"ext","no.educ","non.p20",36,82,44,34,29,0,0,4455274
"ext","no.educ","p20",36,82,56,34,53,36,34,4455274
"ext","no.educ","primary",36,82,18,34,0,1,0,4455274
"ext","no.educ","rural",36,82,67,34,62,35,34,4455274
"ext","no.educ","secondary",36,82,8,34,0,0,0,4455274
"ext","no.educ","stunted",,,,,,,,4455274
"ext","no.educ","under5",36,82,0,34,0,0,0,4455274
"ext","no.educ","urban",36,82,33,34,20,1,0,4455274
"ext","no.skilled.attendant","non.p20",33,57,48,24,21,0,0,2759581
"ext","no.skilled.attendant","p20",33,57,52,24,36,33,24,2759581
"ext","no.skilled.attendant","primary",35,59,13,26,6,1,0,1589193
"ext","no.skilled.attendant","rural",33,57,63,24,42,32,24,2759581
"ext","no.skilled.attendant","secondary",35,59,4,26,2,0,0,1589193
"ext","no.skilled.attendant","stunted",,,,,,,,1962309
"ext","no.skilled.attendant","under5",33,57,0,24,0,0,0,2759581
"ext","no.skilled.attendant","urban",33,57,37,24,15,0,0,2759581
"ext","non.p20","p20",36,44,56,0,0,36,0,11948726
"ext","non.p20","primary",36,44,18,0,15,1,0,4455274
"ext","non.p20","rural",36,44,67,0,13,35,0,11948726
"ext","non.p20","secondary",36,44,8,0,7,0,0,4455274
"ext","non.p20","stunted",40,40,27,0,5,8,0,1962309
"ext","non.p20","under5",36,44,16,0,6,6,0,11948726
"ext","non.p20","urban",36,44,33,0,31,1,0,11948726
"ext","p20","primary",36,56,18,36,3,1,1,4455274
"ext","p20","rural",36,56,67,36,54,35,35,11948726
"ext","p20","secondary",36,56,8,36,1,0,0,4455274
"ext","p20","stunted",40,60,27,40,14,8,8,1962309
"ext","p20","under5",36,56,16,36,10,6,6,11948726
"ext","p20","urban",36,56,33,36,2,1,1,11948726
"ext","primary","rural",36,18,67,1,5,35,1,4455274
"ext","primary","secondary",36,18,8,1,8,0,0,4455274
"ext","primary","stunted",,,,,,,,4455274
"ext","primary","under5",36,18,0,1,0,0,0,4455274
